label,result
1,台股今日上漲，投資人信心回溫。
0,國際油價下跌，能源股普遍走低。
1,科技類股領軍反彈，市場展現強勁動能。
0,通膨數據高於預期，引發市場擔憂。
1,匯率穩定，有助於進出口企業營運。
0,央行可能升息，企業融資壓力增加。
1,國際局勢穩定，提升投資人風險偏好。
0,失業率上升，消費市場面臨壓力。
1,新政策扶植創新產業，有望帶動經濟成長。
0,消費信心指數下降，經濟前景不明。
1,領先指標回升，景氣可能觸底反彈。
0,製造業訂單減少，產能利用率下降。
1,政府擴大基礎建設，有助拉抬就業。
0,跨國企業撤資，市場震盪加劇。
1,科技產業持續創新，全球競爭力提升。
0,利率走高，房市買氣大幅降溫。
1,證券市場資金回流，成交量明顯增加。
0,財報不如預期，股價應聲下挫。
1,國內消費數據創高，顯示內需強勁。
0,傳產庫存壓力大，價格戰風險升高。
1,醫療產業需求穩健，獲利表現亮眼。
0,天災影響農作收成，食品價格上揚。
1,航空業重啟國際航線，營收回溫。
0,原物料成本上升，壓縮企業利潤。
1,電動車銷售創新高，推升產業鏈成長。
0,罷工事件擴大，影響生產線運作。
1,科技展吸引大批觀眾，產業前景看好。
0,股市重挫，投資人信心動搖。
1,人才政策推行順利，企業招募趨熱。
0,地緣衝突升高，外資轉趨保守。
1,產業復甦動能強勁，企業獲利創歷史新高。
0,通貨膨脹持續升溫，民生物價壓力加劇。
1,旅遊業迎來報復性成長，飯店住房率飆升。
0,連續兩季經濟萎縮，引發市場衰退疑慮。
1,晶片出貨量回升，半導體業重現榮景。
0,原物料短缺持續，製造業面臨成本挑戰。
1,新創公司募資順利，資金市場活絡。
0,工廠產線停工，供應鏈危機加劇。
1,電商平台成長迅速，消費模式大轉變。
0,匯率劇烈波動，出口業者憂心忡忡。
1,再生能源政策推動，綠能投資大增。
0,金融詐騙事件頻傳，投資風險升高。
1,農產品出口創佳績，帶動鄉村經濟。
0,股價大幅回檔，市場情緒轉為保守。
1,本季手機出貨量創新高，品牌市佔提升。
0,交通事故頻傳，引發安全隱憂。
1,新法規上路，有助健全金融市場秩序。
0,企業裁員潮擴大，勞動市場受創。
1,智慧醫療技術突破，提升病患照護品質。
0,颱風來襲重創農業，損失慘重。
1,資金湧入AI產業，科技股再創新高。
0,全球經濟成長預測下修，引起廣泛關注。
1,ESG理念深化，企業永續發展受肯定。
0,貿易緊張局勢升溫，出口訂單銳減。
1,低碳轉型成果初現，環保股表現亮眼。
0,財政赤字擴大，政府支出壓力上升。
1,科技公司併購案頻傳，市場整併加速。
0,房價連漲不止，民眾購屋壓力沉重。
1,疫苗研發成功，全球防疫出現曙光。
0,銀行爆發擠兌風波，引發市場恐慌。
1,智慧城市建設啟動，創新應用受矚目。
0,能源供應吃緊，恐引發大規模停電。
1,區塊鏈應用擴展，金融科技邁入新紀元。
0,企業營收不如預期，股價開低走低。
1,車用電子需求大增，相關供應鏈受惠。
0,天然氣價格飆升，工業用戶成本攀升。
1,文創產業出口成長，帶動軟實力輸出。
0,疫情再起，部分城市重新封鎖。
1,生技公司獲准新藥，未來營收可期。
0,財經醜聞曝光，引起社會輿論譁然。
1,教育科技受重視，遠距學習成趨勢。
0,債務違約事件擴大，拖累整體信用市場。
1,國際觀光客回流，觀光產業復甦。
0,黑天鵝事件突襲，市場劇烈震盪。
1,衛星產業快速成長，未來前景可期。
1,金融市場改革有成，資金流動更有效率。
0,投資詐騙案激增，金融監理面臨挑戰。
1,開發中國家經濟起飛，全球格局重整。
0,重要指數連跌多日，市場恐慌情緒蔓延。
1,科技創新拉抬經濟，成長動能明確。
0,國營事業虧損擴大，財政吃緊。
1,雲端服務需求爆發，資料中心投資激增。
0,房貸利率升高，買氣急凍。
1,資本市場制度健全，外資持續回流。
0,毒食品事件頻傳，民眾信心崩盤。
1,海運業供需改善，運價止跌回升。
0,重大意外事故發生，數人傷亡。
1,政策穩定推動改革，產業升級有望。
1,企業環保意識提升，品牌形象加分。
0,詐騙猖獗，金融交易安全受質疑。
1,中央銀行寬鬆政策延續，資金面寬裕。
0,工安事件頻傳，企業責任遭質疑。
1,科技研發成果亮眼，吸引國際合作。
1,醫療保險制度改革，民眾負擔減輕。
0,經濟成長停滯不前，產業信心不足。
1,觀光特區建設啟動，帶動地區發展。
0,國際關係緊張，影響出口表現。
1,電商購物節再創佳績，帶動整體營收。
0,勞資糾紛升高，罷工事件頻傳。
1,智慧製造技術突破，產業升級加速。
0,高齡化社會挑戰加劇，醫療體系壓力大。
1,金融科技創新頻現，吸引大筆資金投入。
0,製造業景氣低迷，營運策略待調整。
1,企業社會責任受肯定，形象顯著提升。
0,政策不確定性升高，投資活動趨緩。
1,環境永續政策上路，帶動綠色經濟。
0,詐騙網站橫行，民眾財產損失慘重。
1,國內AI應用落地加速，產業升級有成。
0,電力供應不穩，民生用電受影響。
1,自駕車測試成功，未來市場潛力看好。
0,貧富差距擴大，社會公平問題引關注。
1,數位轉型成果斐然，企業營運效率提升。
